"","year","region","date_deploy","time_deploy","decimal_latitude_at_deployment_wgs84","decimal_longitude_at_deployment_wgs84","date_retrieve","time_retrieve","dec_lat_retrieve","dec_long_retrieve","sum_micro_m3","fibres_lte5mm_m3","beads_lte5mm_m3","polystyrene_lte5mm_m3","fragments_lte5mm_m3","film_lte5mm_m3","nurdles_lte5mm_m3","paint_flakes_lte5mm_m3"
"215",2014,"Shetland Isles","12/01/2014","11:46",60.501,-1.77733,"12/01/2014","13:15",60.38717,-1.923,0.0277,0,0,0.0154,0.0092,0.0031,0,0
"216",2019,"Shetland Isles","11/01/2019","10:41",60.76317,-0.74433,"11/01/2019","11:59",60.8605,-0.76233,0.0104,0,0,0,0,0,0,0.0104
"217",2014,"Solway","16/11/2014","12:28",54.6855,-4.0605,"16/11/2014","13:26",54.75267,-4.15117,0.0435,0.0062,0,0,0.0373,0,0,0
"218",2014,"Solway","16/11/2014","13:30",54.75483,-4.156,"16/11/2014","15:08",54.69483,-4.3425,0.0363,0.0033,0.0066,0,0.0231,0.0033,0,0
"219",2014,"Solway","16/11/2014","15:13",54.68917,-4.3485,"16/11/2014","16:08",54.65883,-4.43367,0.131,0,0.0065,0.0065,0.0982,0.0196,0,0
"220",2014,"Solway","16/11/2014","16:23",54.654,-4.48317,"16/11/2014","17:57",54.62467,-4.69083,0.1148,0.0037,0,0,0.1037,0.0074,0,0
"221",2016,"Solway","13/01/2016","13:58",54.7605,-3.828,"13/01/2016","15:33",54.624,-3.84117,0.6318,0.0381,0.0076,0,0.4263,0.1523,0.0076,0
"222",2016,"Solway","13/01/2016","15:39",54.72083,-3.84483,"13/01/2016","17:09",54.62317,-3.84183,1.215,0.0287,0.0861,0,0.861,0.2392,0,0
"223",2016,"Solway","13/01/2016","17:38",54.72717,-3.9335,"13/01/2016","19:18",54.6945,-4.1675,0.073,0,0.0086,0,0.0644,0,0,0
"224",2016,"Solway","13/01/2016","19:22",54.6935,-4.17367,"13/01/2016","21:29",54.63683,-4.444,0.078,0,0.006,0,0.06,0,0.012,0
"225",2016,"Solway","13/01/2016","21:34",54.63533,-4.45517,"13/01/2016","23:30",54.6145,-4.70617,0.3637,0,0.014,0.007,0.3008,0.028,0.014,0
"226",2016,"Solway","13/01/2016","23:35",54.61433,-4.71983,"13/01/2016","01:27",54.62333,-4.94183,0.1777,0,0.0099,0.0197,0.1382,0.0099,0,0
"227",2016,"Solway","14/01/2016","01:40",54.63467,-4.973,"14/01/2016","03:36",54.76633,-5.15717,0.0446,0,0,0.0034,0.0411,0,0,0
"228",2016,"Solway","14/01/2016","03:58",54.79883,-5.18917,"14/01/2016","04:21",54.82717,-5.22633,0.1409,0,0,0,0.1409,0,0,0
"229",2017,"Solway","13/01/2017","23:15",54.65667,-4.19767,"13/01/2017","01:30",54.64733,-3.94033,0.0116,0,0,0.0029,0.0087,0,0,0
"230",2017,"Solway","14/01/2017","11:04",54.625,-4.3235,"14/01/2017","12:04",54.60633,-4.429,0.0215,0,0,0,0.0215,0,0,0
"231",2017,"Solway","14/01/2017","12:15",54.604,-4.44967,"14/01/2017","13:17",54.61967,-4.57533,0.1472,0,0,0.0147,0.1324,0,0,0
"232",2017,"Solway","14/01/2017","13:27",54.58433,-4.58833,"14/01/2017","14:24",54.57067,-4.71333,0.1008,0.0144,0,0,0.0864,0,0,0
"233",2017,"Solway","02/11/2017","14:59",54.654,-4.38883,"02/11/2017","15:52",54.6445,-4.51083,0.0081,0,0,0,0.0081,0,0,0
"234",2017,"Solway","02/11/2017","16:30",54.63183,-4.66733,"02/11/2017","17:19",54.629,-4.75067,0.0432,0,0,0,0.0346,0.0086,0,0
